factura_id,fecha,nombre,cliente_id,estado,condicion_pago,fecha_vencimiento,base_imponible,iva_total,total_factura
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
,,,,,20,20,0,0,0
